game_name,original_price,new_price,platform,price_start_date
Slain: Back From Hell,12.99,0.0,Epic Games Store,2022-10-06T16:19:06+00:00
Rising Hell,9.99,0.0,Epic Games Store,2022-10-06T15:20:13+00:00
Far Cry 6,59.99,18.0,Voidu,2022-10-07T20:00:26+00:00
Puyo Puyo Tetris,19.99,5.58,Gamebillet,2022-10-07T08:03:25+00:00
Yakuza 5 Remastered,19.99,6.78,Gamebillet,2022-10-08T23:04:23+00:00
Yakuza 4 Remastered,19.99,6.78,Gamebillet,2022-10-08T23:04:23+00:00
Total War: Rome Remastered,29.99,11.98,Gamebillet,2022-10-08T23:04:23+00:00
RESIDENT EVIL 3,36.57,8.23,Gamesplanet UK,2022-10-03T08:10:10+00:00
RESIDENT EVIL 2 / biohazard RE:2,38.79,8.73,Gamesplanet UK,2022-10-03T08:10:10+00:00
Legend of Mana,29.99,14.99,Steam,2022-10-06T17:51:19+00:00
Bayonetta,16.62,3.74,Gamesplanet UK,2022-10-06T17:09:58+00:00
Attack on Titan / A.O.T. Wings of Freedom,55.42,27.71,Gamesplanet UK,2022-02-08T13:06:03+00:00
Two Point Hospital,34.99,6.98,Gamebillet,2022-10-08T23:04:23+00:00
Yakuza 0,19.99,3.98,Gamebillet,2022-10-08T23:04:23+00:00
HUMANKIND,49.99,20.99,Gamebillet,2022-10-07T08:03:25+00:00
Vanquish,16.62,3.74,Gamesplanet UK,2022-10-06T17:09:58+00:00
Yakuza: Like a Dragon,59.99,19.98,Gamebillet,2022-10-08T23:04:23+00:00
Total War: WARHAMMER,44.33,9.24,Gamesplanet UK,2022-10-06T17:09:58+00:00
Persona 4 Golden,19.99,11.98,Gamebillet,2022-10-07T08:03:25+00:00
Need for Speed Heat Deluxe Edition,69.99,3.49,Origin,2022-09-28T17:04:35+00:00
Noita,19.99,9.99,Humble Store,2022-10-07T18:11:38+00:00
Persona 4 Arena Ultimax,29.99,15.58,Gamebillet,2022-10-07T08:03:25+00:00
Catherine - Classic,19.99,3.98,Gamebillet,2022-10-07T08:03:25+00:00
Assassin's Creed IV Black Flag,19.99,5.4,Ubisoft Store,2022-09-29T15:05:45+00:00
Puyo Puyo Tetris 2,29.99,6.98,Gamebillet,2022-10-07T08:03:25+00:00
Assassin's Creed Origins,59.99,8.99,Steam,2022-09-29T17:57:14+00:00
Total War Saga: Thrones of Britannia,39.99,7.98,Gamebillet,2022-10-08T23:04:23+00:00
Soul Hackers 2,59.99,36.99,WinGameStore,2022-10-07T21:01:24+00:00
Shin Megami Tensei III Nocturne HD Remaster,49.99,20.99,Gamebillet,2022-10-07T08:03:25+00:00
The Elder Scrolls V: Skyrim Special Edition,39.99,11.22,Green Man Gaming,2022-10-04T00:10:00+00:00
Tom Clancy's Rainbow Six Siege,19.99,7.2,Ubisoft Store,2022-09-29T15:05:45+00:00
Valkyria Chronicles,16.62,4.37,Gamesplanet UK,2022-10-06T17:09:58+00:00
Mega Man 11,27.71,6.93,Gamesplanet UK,2022-10-03T08:10:10+00:00
Child of Light,14.99,4.05,Ubisoft Store,2022-09-29T15:05:45+00:00
Call of Duty: Modern Warfare,59.99,19.79,Battle.net,2022-09-27T17:11:19+00:00
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,59.99,29.49,WinGameStore,2022-10-07T21:01:24+00:00
Sonic Mania,16.62,3.74,Gamesplanet UK,2022-10-06T17:09:58+00:00
The Crew 2,49.99,8.6,Green Man Gaming,2022-10-03T09:09:31+00:00
Persona 5 Strikers - Deluxe Edition,69.99,22.38,Gamebillet,2022-10-07T08:03:25+00:00
Call of Duty: Vanguard,59.99,29.99,Battle.net,2022-10-03T18:26:05+00:00
UnderRail,14.99,5.99,Gog.com,2022-10-03T13:08:58+00:00
Two Point Campus,39.99,25.58,Gamebillet,2022-10-08T23:04:23+00:00
Far Cry 5,59.99,10.08,Green Man Gaming,2022-10-07T16:09:37+00:00
Total War - Three Kingdoms,59.99,15.98,Gamebillet,2022-10-07T08:03:25+00:00
Overcrowd: A Commute 'Em Up,19.99,6.99,Steam,2022-10-06T17:47:57+00:00
Mega Man Zero/ZX Legacy Collection,27.71,10.17,Gamesplanet UK,2022-10-03T08:10:10+00:00
Aragami 2,34.99,17.49,Humble Store,2022-10-03T18:11:48+00:00
